General Imports|Monthly data for 2025,,,,,,,,,,,,,,,,
Data Row Count,10946,,,,,,,,,,,,,,,
Data Type,HTS Number,Description,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December
General CIF Imports Value,02064100,"Livers of swine, frozen",2025,Value for: kilograms,76044.00,75115.00,133638.00,29166.00,25547.00,69015.00,53544.00,69317.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02064900,"Edible offal of swine, except liver, frozen",2025,Value for: kilograms,3769802.00,3445544.00,3753444.00,2266100.00,2463586.00,2470073.00,4730731.00,3077382.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02068000,"Edible offal of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",2025,Value for: kilograms,0.00,0.00,0.00,0.00,0.00,38093.00,0.00,0.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02069000,"Edible offal of sheep, goats, horses, asses, mules or hinnies, frozen",2025,Value for: kilograms,2836555.00,1874401.00,2099997.00,2552529.00,1810146.00,1753772.00,1646323.00,2201901.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02071100,"Chickens, not cut in pieces, fresh or chilled",2025,Value for: kilograms,1057593.00,962032.00,954932.00,609785.00,685917.00,626598.00,557184.00,608213.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02071200,"Chickens, not cut in pieces, frozen",2025,Value for: kilograms,25342.00,18093.00,3796.00,217180.00,317319.00,797298.00,663033.00,770227.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02071300,"Cuts and offal of chickens, fresh or chilled",2025,Value for: kilograms,5245672.00,4456453.00,3960309.00,2469332.00,3430100.00,3062039.00,4464192.00,3176521.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02071400,"Cuts and offal of chickens, frozen",2025,Value for: kilograms,22971863.00,19146564.00,20454782.00,22212237.00,26220205.00,21642605.00,23248706.00,19780430.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02072400,"Turkeys, not cut in pieces, fresh or chilled",2025,Value for: kilograms,27037.00,26332.00,122024.00,996556.00,1217590.00,1290527.00,1799670.00,1065032.00,0.00,0.00,0.00,0.00
General CIF Imports Value,02072520,"Turkeys, not cut in pieces, valued less than 88 cents/kg, frozen",2025,Value for: kilograms,0.00,396982.00,158610.00,0.00,63064.00,0.00,73198.00,0.00,0.00,0.00,0.00,0.00
